State,TotalExecutions,StatePopulation,%Population,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976
Alabama,63,4888949,1.29E-05,2,3,2,0,0,1,0,6,5,6,0,3,1,4,2,3,2,0,4,2,1,3,1,2,0,0,2,0,1,4,0,1,1,0,0,1,0,0,0,0,0,0,0
Alaska,0,738068,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Arizona,37,7123898,5.19E-06,0,0,0,0,1,2,6,4,1,0,0,1,0,0,0,0,0,0,3,7,4,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,31,3020327,1.03E-05,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,4,1,4,1,2,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,13,39776830,3.27E-07,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,2,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,1,5684203,1.76E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,1,3588683,2.79E-07,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,16,971180,1.65E-05,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,0,703608,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0
Florida,96,21312211,4.50E-06,1,3,1,2,8,7,3,2,1,2,2,0,4,1,2,3,3,1,6,1,4,1,2,3,1,3,2,2,4,2,2,1,3,3,8,1,0,0,0,1,0,0,0
Georgia,72,10545138,6.83E-06,2,1,9,5,2,1,0,4,2,3,3,1,0,3,2,3,4,4,0,0,1,0,2,2,1,2,0,1,0,1,1,5,1,3,2,1,0,0,0,0,0,0,0
